序号,stock_code,stock_name,net_profit,net_profit_yoy,revenue,revenue_yoy,营业总支出-营业支出,营业总支出-销售费用,营业总支出-管理费用,营业总支出-财务费用,营业总支出-营业总支出,operating_profit,total_profit,announcement_date,report_date_param,report_type,资产-货币资金,资产-应收账款,资产-存货,total_assets,资产-总资产同比,负债-应付账款,负债-预收账款,total_liabilities,负债-总负债同比,asset_liability_ratio,equity,net_cash_flow,净现金流-同比增长,operating_cash_flow,经营性现金流-净现金流占比,investing_cash_flow,投资性现金流-净现金流占比,financing_cash_flow,融资性现金流-净现金流占比
128,688317,之江生物,-25510247.42,-59.266510972832,25419230.44,-20.8978101489,7916025.78,9072612.64,17918244.21,9376422.37,57769206.0,-23585534.64,-23896668.03,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
132,688305,科德数控,22548248.36,6.85,108094698.67,-17.3956896009,60599830.71,10855869.33,9170428.06,-55532.17,90658429.24,25143342.36,24755196.66,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
136,688286,敏芯股份,-10361009.2,-463.72,107022596.26,-20.7021459557,80097761.16,5309533.97,10862312.55,123112.03,114781026.64,-10864088.65,-10847669.57,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
138,688275,万润新能,400978712.22,357.289856658212,5380056775.35,136.1573292864,4608079673.12,8134554.7,77656114.85,54698385.19,4813715168.16,463759259.01,463640230.26,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
141,688261,东微半导,5557920.59,-28.8,279775301.7,-1.0993764386,233124769.59,8680071.52,16140947.27,-171170.32,281803770.28,1277936.18,1285481.61,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
142,688257,新锐股份,312303489.06,576.15,1117720354.8,111.5669933744,591764657.02,41596517.72,60200274.95,9881135.04,741472171.85,377052732.87,376849234.63,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
146,688239,航宇科技,56397377.95,31.65,531132161.68,25.882476741,371621795.25,9280237.12,25281035.17,13376619.94,445051853.53,61634633.84,62758460.68,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
151,688219,会通股份,55092141.83,11.1,1639884323.86,11.7454796726,1414058612.58,44641265.96,45183931.99,7523430.24,1596616206.72,54631437.49,53990861.23,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
154,688212,澳华内镜,-24433325.62,15.136898609651,137504067.69,11.1343082645,39014571.95,55715060.0,23258217.61,3358332.36,166236235.26,-31509131.91,-31728020.47,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
157,688202,美迪西,15615353.71,207.345400888381,364644480.63,36.5242815642,269636182.34,22658376.67,27727749.72,5426365.95,351776025.38,15801151.02,15822637.9,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
163,688176,亚虹医药,-112398504.64,-34.559453147934,71085894.94,16.3413834072,19504870.05,73100728.75,19716939.79,3106401.41,189734751.55,-112359970.17,-114384224.42,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
164,688173,希荻微,-7640066.46,71.978280908038,251410914.78,41.4970111102,178375120.97,14161922.99,16738003.92,6231908.23,265369583.85,-10053438.66,-10038737.2,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
