date,open,high,low,close,volume,amount,n_stocks,index_code,source
2026-02-27,1096.3802858757404,1125.294831093329,1081.2411070924343,1110.4292975062672,11594676003.0,527018869096.92,1997,932000,computed_local_equal_weight_proxy
2026-03-02,1089.169920868463,1122.3898167453162,1064.0770475735064,1087.3320845929854,13872230287.0,628051647454.48,1997,932000,computed_local_equal_weight_proxy
2026-03-03,1100.3326624560252,1119.3456980868973,1040.4376045511399,1047.536151234016,14711275510.0,649021863806.52,1998,932000,computed_local_equal_weight_proxy
2026-03-04,1034.4189889573859,1071.146395434665,1020.1490887364045,1045.0958066910944,12225928728.0,498837230114.41,1998,932000,computed_local_equal_weight_proxy
2026-03-05,1064.852657416637,1089.443354212757,1041.6984206632678,1061.801026795156,12914569278.0,535621958042.04,1998,932000,computed_local_equal_weight_proxy
2026-03-06,1060.3088421307978,1097.3860174168842,1047.6376733903994,1078.6534497094538,12281553288.0,505673432528.62,1998,932000,computed_local_equal_weight_proxy
2026-03-09,1062.4160285468674,1087.5567200611904,1031.522086552388,1070.162814976533,13377391617.0,552009765847.94,2000,932000,computed_local_equal_weight_proxy
2026-03-10,1072.2812354645664,1106.543709489092,1060.9520530198402,1092.453187089013,12005647675.0,534948938937.77,1999,932000,computed_local_equal_weight_proxy
2026-03-11,1097.8188153790304,1121.5421593453816,1075.1653239846457,1089.5699124134312,12581414068.0,556686114395.01,2000,932000,computed_local_equal_weight_proxy
2026-03-12,1091.0061014189353,1109.4243724139012,1061.1412933557303,1077.3905047634034,12545116467.0,520917646673.7,2000,932000,computed_local_equal_weight_proxy
2026-03-13,1075.2472926201137,1100.5777500512563,1052.4103987969033,1066.2129264226658,12256287630.0,498376362463.72,2000,932000,computed_local_equal_weight_proxy
2026-03-16,1063.9913330417216,1088.2631095158572,1039.7331963481959,1070.6718418386718,11468087517.0,481176241076.82,2000,932000,computed_local_equal_weight_proxy
2026-03-17,1080.3226018271255,1095.209557732327,1039.1582579631518,1046.3299319616715,11246384471.0,471311813431.84,1999,932000,computed_local_equal_weight_proxy
2026-03-18,1045.0924374971837,1072.0180248040515,1028.6707704914695,1061.7561116141148,10812088612.0,439681976777.27,1999,932000,computed_local_equal_weight_proxy
2026-03-19,1048.6836213617323,1069.142596013196,1022.3592174854036,1035.3894894964146,11331958596.0,451175147787.14,1999,932000,computed_local_equal_weight_proxy
2026-03-20,1038.6513381413172,1059.7023315313568,1000.4484181999267,1008.0931830356275,12492116916.0,477938641480.24,1999,932000,computed_local_equal_weight_proxy
2026-03-23,989.0040608407579,1009.9204965193524,939.042160649869,951.5165015841069,13779876964.0,503657206408.55,1999,932000,computed_local_equal_weight_proxy
2026-03-24,972.9390327150338,997.9731917762036,945.4567476786209,988.7534941277235,12443200306.0,453546393715.08,1998,932000,computed_local_equal_weight_proxy
2026-03-25,993.9465082682838,1027.6521778868605,984.1352726008478,1009.6815491967664,11717615726.0,462799241908.66,1998,932000,computed_local_equal_weight_proxy
2026-03-26,1009.3832088180958,1029.8496406114339,980.7266940272333,993.8953817321176,11413759214.0,446329050202.68,1997,932000,computed_local_equal_weight_proxy
