stock_code,stock_name,latest_price,pct_change,turnover_rate,volume,amount,amplitude,pe_dynamic,pb,total_market_value,float_market_value,snapshot_date,source,synthesized_at
000014,沙河股份,10.67,-0.84,3.59,86958.0,94695748.2,5.11,,,,,2026-05-29,derived_from_last_daily_row,20260608
002154,报喜鸟,4.1,1.49,3.08,362864.0,149592424.0,2.72,,,,,2026-05-29,derived_from_last_daily_row,20260608
000919,金陵药业,6.34,1.12,2.06,127941.0,81150734.0,2.71,,,,,2026-05-29,derived_from_last_daily_row,20260608
000936,华西股份,6.37,-3.04,2.42,214585.0,138559108.11,3.81,,,,,2026-05-29,derived_from_last_daily_row,20260608
000409,云鼎科技,9.59,-4.67,2.95,174350.0,170530031.62,6.86,,,,,2026-05-29,derived_from_last_daily_row,20260608
002132,恒星科技,4.85,-6.55,5.13,718478.0,354752604.55,8.09,,,,,2026-05-29,derived_from_last_daily_row,20260608
000915,华特达因,27.32,2.25,0.86,20254.0,55111197.65,2.62,,,,,2026-05-29,derived_from_last_daily_row,20260608
000090,天健集团,3.85,10.0,6.66,1243900.0,467949976.93,9.71,,,,,2026-05-29,derived_from_last_daily_row,20260608
002117,东港股份,9.26,-1.49,1.85,96869.0,91000525.54,3.83,,,,,2026-05-29,derived_from_last_daily_row,20260608
000026,飞亚达,23.95,3.86,7.5,273393.0,665502372.6,9.58,,,,,2026-05-29,derived_from_last_daily_row,20260608
002246,北化股份,21.68,0.18,3.5,192161.0,415381848.62,5.64,,,,,2026-05-29,derived_from_last_daily_row,20260608
920839,万通液压,27.29,-3.16,1.02,6639.0,18523592.69,5.15,,,,,2026-05-29,derived_from_last_daily_row,20260608
920682,球冠电缆,6.4,,0.0118105307960053,2666898.0,17275363.0,,,,,,2026-05-29,derived_from_last_daily_row,20260608
002137,实益达,8.49,-5.35,7.65,303216.0,261743026.03,5.8,,,,,2026-05-29,derived_from_last_daily_row,20260608
002303,美盈森,3.29,-1.2,1.38,133234.0,44151102.3,2.4,,,,,2026-05-29,derived_from_last_daily_row,20260608
000962,东方钽业,59.66,-10.0,5.64,282810.0,1762094249.81,11.07,,,,,2026-05-29,derived_from_last_daily_row,20260608
000153,丰原药业,5.68,0.18,1.42,65348.0,37223459.8,1.41,,,,,2026-05-29,derived_from_last_daily_row,20260608
000407,胜利股份,4.15,-1.66,1.72,150798.0,63036029.85,2.37,,,,,2026-05-29,derived_from_last_daily_row,20260608
002169,智光电气,16.43,-9.97,8.63,654710.0,1111358277.11,10.63,,,,,2026-05-29,derived_from_last_daily_row,20260608
001208,华菱线缆,15.88,-4.28,4.54,144636.0,232363407.0,5.3,,,,,2026-05-29,derived_from_last_daily_row,20260608
001217,华尔泰,9.82,-2.0,1.0,32966.0,32714112.0,3.49,,,,,2026-05-29,derived_from_last_daily_row,20260608
000151,中成股份,13.31,10.0,10.45,321942.0,418287203.3,9.09,,,,,2026-05-29,derived_from_last_daily_row,20260608
000068,华控赛格,3.14,-2.79,4.1,412551.0,132859533.75,6.81,,,,,2026-05-29,derived_from_last_daily_row,20260608
002083,孚日股份,10.03,-1.76,2.72,257697.0,262677971.01,4.11,,,,,2026-05-29,derived_from_last_daily_row,20260608
