stock_code,stock_name,n_daily_rows,first_date,last_date,missing_ratio,download_success
002863,今飞凯达,95,2026-01-05,2026-05-29,0.1121,True
002864,盘龙药业,95,2026-01-05,2026-05-29,0.1121,True
002866,传艺科技,95,2026-01-05,2026-05-29,0.1121,True
002869,金溢科技,95,2026-01-05,2026-05-29,0.1121,True
002870,香山股份,95,2026-01-05,2026-05-29,0.1121,True
002875,安奈儿,95,2026-01-05,2026-05-29,0.1121,True
002876,三利谱,95,2026-01-05,2026-05-29,0.1121,True
002877,智能自控,95,2026-01-05,2026-05-29,0.1121,True
002878,元隆雅图,95,2026-01-05,2026-05-29,0.1121,True
002879,长缆科技,95,2026-01-05,2026-05-29,0.1121,True
002884,凌霄泵业,95,2026-01-05,2026-05-29,0.1121,True
002885,京泉华,95,2026-01-05,2026-05-29,0.1121,True
002886,沃特股份,95,2026-01-05,2026-05-29,0.1121,True
002888,惠威科技,95,2026-01-05,2026-05-29,0.1121,True
002889,东方嘉盛,95,2026-01-05,2026-05-29,0.1121,True
002893,京能热力,95,2026-01-05,2026-05-29,0.1121,True
002899,英派斯,95,2026-01-05,2026-05-29,0.1121,True
002900,哈三联,95,2026-01-05,2026-05-29,0.1121,True
002902,铭普光磁,95,2026-01-05,2026-05-29,0.1121,True
002903,宇环数控,95,2026-01-05,2026-05-29,0.1121,True
002905,金逸影视,95,2026-01-05,2026-05-29,0.1121,True
002907,华森制药,95,2026-01-05,2026-05-29,0.1121,True
002908,德生科技,95,2026-01-05,2026-05-29,0.1121,True
002912,中新赛克,95,2026-01-05,2026-05-29,0.1121,True
002915,中欣氟材,95,2026-01-05,2026-05-29,0.1121,True
002917,金奥博,95,2026-01-05,2026-05-29,0.1121,True
002918,蒙娜丽莎,95,2026-01-05,2026-05-29,0.1121,True
002919,名臣健康,95,2026-01-05,2026-05-29,0.1121,True
002922,伊戈尔,95,2026-01-05,2026-05-29,0.1121,True
002923,润都股份,95,2026-01-05,2026-05-29,0.1121,True
002927,泰永长征,95,2026-01-05,2026-05-29,0.1121,True
002930,宏川智慧,95,2026-01-05,2026-05-29,0.1121,True
002931,锋龙股份,83,2026-01-05,2026-05-29,0.2243,True
002933,新兴装备,95,2026-01-05,2026-05-29,0.1121,True
002935,天奥电子,95,2026-01-05,2026-05-29,0.1121,True
002937,兴瑞科技,0,,,1.0,False
002940,昂利康,0,,,1.0,False
002943,宇晶股份,0,,,1.0,False
002949,华阳国际,0,,,1.0,False
002950,奥美医疗,95,2026-01-05,2026-05-29,0.1121,True
002952,亚世光电,95,2026-01-05,2026-05-29,0.1121,True
002953,日丰股份,95,2026-01-05,2026-05-29,0.1121,True
002955,鸿合科技,95,2026-01-05,2026-05-29,0.1121,True
002956,西麦食品,95,2026-01-05,2026-05-29,0.1121,True
002957,科瑞技术,95,2026-01-05,2026-05-29,0.1121,True
002959,小熊电器,0,,,1.0,False
002961,瑞达期货,0,,,1.0,False
002962,五方光电,0,,,1.0,False
002969,嘉美包装,87,2026-01-05,2026-05-29,0.1869,True
002970,锐明技术,95,2026-01-05,2026-05-29,0.1121,True
002971,和远气体,95,2026-01-05,2026-05-29,0.1121,True
002973,侨银股份,95,2026-01-05,2026-05-29,0.1121,True
002975,博杰股份,0,,,1.0,False
002976,瑞玛精密,0,,,1.0,False
002980,华盛昌,0,,,1.0,False
002981,朝阳科技,0,,,1.0,False
002982,湘佳股份,95,2026-01-05,2026-05-29,0.1121,True
002983,芯瑞达,95,2026-01-05,2026-05-29,0.1121,True
002986,宇新股份,95,2026-01-05,2026-05-29,0.1121,True
002988,豪美新材,95,2026-01-05,2026-05-29,0.1121,True
002989,中天精装,95,2026-01-05,2026-05-29,0.1121,True
002990,盛视科技,95,2026-01-05,2026-05-29,0.1121,True
002991,甘源食品,95,2026-01-05,2026-05-29,0.1121,True
002995,天地在线,0,,,1.0,False
002996,顺博合金,0,,,1.0,False
002997,瑞鹄模具,95,2026-01-05,2026-05-29,0.1121,True
003000,劲仔食品,95,2026-01-05,2026-05-29,0.1121,True
003001,中岩大地,95,2026-01-05,2026-05-29,0.1121,True
003002,壶化股份,0,,,1.0,False
003005,竞业达,0,,,1.0,False
003007,直真科技,95,2026-01-05,2026-05-29,0.1121,True
003009,中天火箭,95,2026-01-05,2026-05-29,0.1121,True
003010,若羽臣,95,2026-01-05,2026-05-29,0.1121,True
003015,日久光电,0,,,1.0,False
003016,欣贺股份,0,,,1.0,False
003019,宸展光电,0,,,1.0,False
003020,立方制药,95,2026-01-05,2026-05-29,0.1121,True
003025,思进智能,95,2026-01-05,2026-05-29,0.1121,True
003026,中晶科技,0,,,1.0,False
003028,振邦智能,0,,,1.0,False
003029,吉大正元,0,,,1.0,False
003033,征和工业,0,,,1.0,False
003036,泰坦股份,0,,,1.0,False
003037,三和管桩,0,,,1.0,False
003038,鑫铂股份,0,,,1.0,False
003040,楚天龙,0,,,1.0,False
003041,真爱美家,91,2026-01-05,2026-05-29,0.1495,True
003043,华亚智能,95,2026-01-05,2026-05-29,0.1121,True
300004,南风股份,0,,,1.0,False
300005,探路者,0,,,1.0,False
300011,鼎汉技术,0,,,1.0,False
300016,北陆药业,95,2026-01-05,2026-05-29,0.1121,True
300018,中元股份,95,2026-01-05,2026-05-29,0.1121,True
300019,硅宝科技,95,2026-01-05,2026-05-29,0.1121,True
300021,大禹节水,95,2026-01-05,2026-05-29,0.1121,True
300022,吉峰科技,95,2026-01-05,2026-05-29,0.1121,True
300025,华星创业,95,2026-01-05,2026-05-29,0.1121,True
300032,金龙机电,0,,,1.0,False
300039,上海凯宝,95,2026-01-05,2026-05-29,0.1121,True
300040,九洲集团,0,,,1.0,False
300041,回天新材,0,,,1.0,False
300042,朗科科技,95,2026-01-05,2026-05-29,0.1121,True
300043,星辉娱乐,95,2026-01-05,2026-05-29,0.1121,True
300046,台基股份,0,,,1.0,False
300048,合康新能,0,,,1.0,False
300050,世纪鼎利,95,2026-01-05,2026-05-29,0.1121,True
300053,航宇微,95,2026-01-05,2026-05-29,0.1121,True
300055,万邦达,95,2026-01-05,2026-05-29,0.1121,True
300056,中创环保,0,,,1.0,False
300057,万顺新材,0,,,1.0,False
300061,旗天科技,0,,,1.0,False
300062,中能电气,0,,,1.0,False
300063,天龙集团,95,2026-01-05,2026-05-29,0.1121,True
300066,三川智慧,95,2026-01-05,2026-05-29,0.1121,True
300067,安诺其,86,2026-01-05,2026-05-29,0.1963,True
300071,福石控股,95,2026-01-05,2026-05-29,0.1121,True
300086,康芝药业,95,2026-01-05,2026-05-29,0.1121,True
300092,科新机电,95,2026-01-05,2026-05-29,0.1121,True
300094,国联水产,0,,,1.0,False
300095,华伍股份,95,2026-01-05,2026-05-29,0.1121,True
300099,尤洛卡,0,,,1.0,False
300105,龙源技术,0,,,1.0,False
300107,建新股份,0,,,1.0,False
300110,华仁药业,0,,,1.0,False
300111,向日葵,95,2026-01-05,2026-05-29,0.1121,True
300112,万讯自控,95,2026-01-05,2026-05-29,0.1121,True
300120,经纬辉开,95,2026-01-05,2026-05-29,0.1121,True
300121,阳谷华泰,0,,,1.0,False
300129,泰胜风能,0,,,1.0,False
300132,青松股份,0,,,1.0,False
300135,宝利国际,0,,,1.0,False
300138,晨光生物,95,2026-01-05,2026-05-29,0.1121,True
300139,晓程科技,95,2026-01-05,2026-05-29,0.1121,True
300143,盈康生命,95,2026-01-05,2026-05-29,0.1121,True
300145,南方泵业,95,2026-01-05,2026-05-29,0.1121,True
300148,天舟文化,95,2026-01-05,2026-05-29,0.1121,True
300149,睿智医药,0,,,1.0,False
300150,世纪瑞尔,0,,,1.0,False
300153,科泰电源,0,,,1.0,False
300154,瑞凌股份,95,2026-01-05,2026-05-29,0.1121,True
300160,秀强股份,95,2026-01-05,2026-05-29,0.1121,True
300161,华中数控,95,2026-01-05,2026-05-29,0.1121,True
300162,雷曼光电,95,2026-01-05,2026-05-29,0.1121,True
300164,通源石油,95,2026-01-05,2026-05-29,0.1121,True
300172,中电环保,0,,,1.0,False
300174,元力股份,0,,,1.0,False
300176,鸿特科技,0,,,1.0,False
300179,四方达,0,,,1.0,False
300189,神农种业,95,2026-01-05,2026-05-29,0.1121,True
300192,科德教育,95,2026-01-05,2026-05-29,0.1121,True
300193,佳士科技,95,2026-01-05,2026-05-29,0.1121,True
300194,福安药业,95,2026-01-05,2026-05-29,0.1121,True
300195,长荣股份,95,2026-01-05,2026-05-29,0.1121,True
300196,长海股份,0,,,1.0,False
300200,高盟新材,0,,,1.0,False
300201,海伦哲,0,,,1.0,False
300203,聚光科技,0,,,1.0,False
300206,理邦仪器,95,2026-01-05,2026-05-29,0.1121,True
300210,森远股份,95,2026-01-05,2026-05-29,0.1121,True
300213,佳讯飞鸿,95,2026-01-05,2026-05-29,0.1121,True
300215,电科院,95,2026-01-05,2026-05-29,0.1121,True
300217,东方电热,95,2026-01-05,2026-05-29,0.1121,True
300218,安利股份,0,,,1.0,False
300219,鸿利智汇,0,,,1.0,False
300221,银禧科技,0,,,1.0,False
300222,科大智能,0,,,1.0,False
300227,光韵达,95,2026-01-05,2026-05-29,0.1121,True
300228,富瑞特装,95,2026-01-05,2026-05-29,0.1121,True
300230,永利股份,95,2026-01-05,2026-05-29,0.1121,True
300231,银信科技,95,2026-01-05,2026-05-29,0.1121,True
300235,方直科技,95,2026-01-05,2026-05-29,0.1121,True
300238,冠昊生物,95,2026-01-05,2026-05-29,0.1121,True
300239,东宝生物,95,2026-01-05,2026-05-29,0.1121,True
300240,飞力达,0,,,1.0,False
300241,瑞丰光电,0,,,1.0,False
300247,融捷健康,0,,,1.0,False
300248,新开普,0,,,1.0,False
300249,依米康,95,2026-01-05,2026-05-29,0.1121,True
300250,初灵信息,95,2026-01-05,2026-05-29,0.1121,True
300252,金信诺,95,2026-01-05,2026-05-29,0.1121,True
300258,精锻科技,95,2026-01-05,2026-05-29,0.1121,True
300263,隆华科技,95,2026-01-05,2026-05-29,0.1121,True
300264,佳创视讯,0,,,1.0,False
300265,通光线缆,0,,,1.0,False
300267,尔康制药,0,,,1.0,False
300272,开能健康,0,,,1.0,False
300275,梅安森,0,,,1.0,False
300277,汽轮科技,95,2026-01-05,2026-05-29,0.1121,True
300278,华昌达,95,2026-01-05,2026-05-29,0.1121,True
300279,和晶科技,95,2026-01-05,2026-05-29,0.1121,True
300283,温州宏丰,0,,,1.0,False
300286,安科瑞,0,,,1.0,False
300288,朗玛信息,0,,,1.0,False
300291,百纳千成,0,,,1.0,False
300292,吴通控股,0,,,1.0,False
300293,蓝英装备,95,2026-01-05,2026-05-29,0.1121,True
300299,富春股份,95,2026-01-05,2026-05-29,0.1121,True
300302,同有科技,95,2026-01-05,2026-05-29,0.1121,True
300304,云意电气,95,2026-01-05,2026-05-29,0.1121,True
300306,远方信息,95,2026-01-05,2026-05-29,0.1121,True
300307,慈星股份,0,,,1.0,False
300310,宜通世纪,0,,,1.0,False
300314,戴维医疗,0,,,1.0,False
300317,珈伟新能,0,,,1.0,False
300318,博晖创新,95,2026-01-05,2026-05-29,0.1121,True
300320,海达股份,95,2026-01-05,2026-05-29,0.1121,True
300322,硕贝德,95,2026-01-05,2026-05-29,0.1121,True
300328,宜安科技,95,2026-01-05,2026-05-29,0.1121,True
300331,苏大维格,95,2026-01-05,2026-05-29,0.1121,True
300332,天壕能源,95,2026-01-05,2026-05-29,0.1121,True
300335,迪森股份,95,2026-01-05,2026-05-29,0.1121,True
300340,科恒股份,0,,,1.0,False
300342,天银机电,0,,,1.0,False
300345,华民股份,0,,,1.0,False
300349,金卡智能,0,,,1.0,False
300350,华鹏飞,95,2026-01-05,2026-05-29,0.1121,True
300351,永贵电器,95,2026-01-05,2026-05-29,0.1121,True
300354,东华测试,95,2026-01-05,2026-05-29,0.1121,True
300355,蒙草生态,95,2026-01-05,2026-05-29,0.1121,True
300359,全通教育,95,2026-01-05,2026-05-29,0.1121,True
300365,恒华科技,95,2026-01-05,2026-05-29,0.1121,True
300374,中铁装配,95,2026-01-05,2026-05-29,0.1121,True
300375,鹏翎股份,95,2026-01-05,2026-05-29,0.1121,True
300380,安硕信息,0,,,1.0,False
300381,溢多利,0,,,1.0,False
300382,斯莱克,0,,,1.0,False
300384,三联虹普,0,,,1.0,False
300386,飞天诚信,95,2026-01-05,2026-05-29,0.1121,True
300388,节能国祯,95,2026-01-05,2026-05-29,0.1121,True
300389,艾比森,95,2026-01-05,2026-05-29,0.1121,True
300399,天利科技,95,2026-01-05,2026-05-29,0.1121,True
300400,劲拓股份,95,2026-01-05,2026-05-29,0.1121,True
300402,宝色股份,95,2026-01-05,2026-05-29,0.1121,True
300403,汉宇集团,0,,,1.0,False
300404,博济医药,0,,,1.0,False
300407,凯发电气,0,,,1.0,False
300411,金盾股份,0,,,1.0,False
300412,迦南科技,0,,,1.0,False
300414,中光防雷,95,2026-01-05,2026-05-29,0.1121,True
300420,五洋自控,95,2026-01-05,2026-05-29,0.1121,True
300421,力星股份,0,,,1.0,False
300423,昇辉科技,0,,,1.0,False
300424,航新科技,0,,,1.0,False
300425,中建环能,0,,,1.0,False
300426,华智数媒,95,2026-01-05,2026-05-29,0.1121,True
300427,红相股份,95,2026-01-05,2026-05-29,0.1121,True
300429,强力新材,95,2026-01-05,2026-05-29,0.1121,True
300434,金石亚药,95,2026-01-05,2026-05-29,0.1121,True
300435,中泰股份,95,2026-01-05,2026-05-29,0.1121,True
300436,广生堂,0,,,1.0,False
300439,美康生物,0,,,1.0,False
300440,运达科技,0,,,1.0,False
300441,鲍斯股份,0,,,1.0,False
300444,双杰电气,0,,,1.0,False
300445,康斯特,95,2026-01-05,2026-05-29,0.1121,True
300447,全信股份,95,2026-01-05,2026-05-29,0.1121,True
300448,浩云科技,95,2026-01-05,2026-05-29,0.1121,True
300452,山河药辅,95,2026-01-05,2026-05-29,0.1121,True
300453,三鑫医疗,0,,,1.0,False
300461,田中精机,0,,,1.0,False
300465,高伟达,0,,,1.0,False
300466,赛摩智能,0,,,1.0,False
300467,迅游科技,95,2026-01-05,2026-05-29,0.1121,True
300469,信息发展,95,2026-01-05,2026-05-29,0.1121,True
300471,厚普股份,95,2026-01-05,2026-05-29,0.1121,True
300473,德尔股份,95,2026-01-05,2026-05-29,0.1121,True
300479,神思电子,0,,,1.0,False
300480,光力科技,0,,,1.0,False
300481,濮阳惠成,0,,,1.0,False
300483,首华燃气,0,,,1.0,False
300484,蓝海华腾,95,2026-01-05,2026-05-29,0.1121,True
300485,赛升药业,95,2026-01-05,2026-05-29,0.1121,True
300486,东杰智能,95,2026-01-05,2026-05-29,0.1121,True
300488,恒锋工具,95,2026-01-05,2026-05-29,0.1121,True
300489,光智科技,95,2026-01-05,2026-05-29,0.1121,True
300490,华自科技,0,,,1.0,False
300491,通合科技,0,,,1.0,False
300494,盛天网络,0,,,1.0,False
300499,高澜股份,0,,,1.0,False
300501,海顺新材,95,2026-01-05,2026-05-29,0.1121,True
300503,昊志机电,95,2026-01-05,2026-05-29,0.1121,True
300504,天邑股份,95,2026-01-05,2026-05-29,0.1121,True
300505,川金诺,95,2026-01-05,2026-05-29,0.1121,True
300507,苏奥传感,0,,,1.0,False
300508,维宏股份,0,,,1.0,False
300510,金冠股份,0,,,1.0,False
300512,中亚股份,0,,,1.0,False
300513,恒实科技,95,2026-01-05,2026-05-29,0.1121,True
300514,友讯达,95,2026-01-05,2026-05-29,0.1121,True
300515,三德科技,95,2026-01-05,2026-05-29,0.1121,True
300516,久之洋,95,2026-01-05,2026-05-29,0.1121,True
300520,科大国创,95,2026-01-05,2026-05-29,0.1121,True
300522,世名科技,95,2026-01-05,2026-05-29,0.1121,True
300523,辰安科技,95,2026-01-05,2026-05-29,0.1121,True
300531,优博讯,95,2026-01-05,2026-05-29,0.1121,True
300532,今天国际,0,,,1.0,False
300533,冰川网络,0,,,1.0,False
300534,陇神戎发,0,,,1.0,False
300537,广信材料,0,,,1.0,False
300538,同益股份,0,,,1.0,False
300539,横河精密,95,2026-01-05,2026-05-29,0.1121,True
300540,蜀道装备,95,2026-01-05,2026-05-29,0.1121,True
300541,先进数通,95,2026-01-05,2026-05-29,0.1121,True
300542,新晨科技,95,2026-01-05,2026-05-29,0.1121,True
300543,朗科智能,95,2026-01-05,2026-05-29,0.1121,True
300545,联得装备,95,2026-01-05,2026-05-29,0.1121,True
300546,雄帝科技,0,,,1.0,False
300547,川环科技,0,,,1.0,False
300550,和仁科技,0,,,1.0,False
300551,古鳌科技,0,,,1.0,False
300553,集智股份,95,2026-01-05,2026-05-29,0.1121,True
300557,理工光科,95,2026-01-05,2026-05-29,0.1121,True
300559,佳发教育,95,2026-01-05,2026-05-29,0.1121,True
300560,中富通,95,2026-01-05,2026-05-29,0.1121,True
300562,乐心医疗,95,2026-01-05,2026-05-29,0.1121,True
300563,神宇股份,95,2026-01-05,2026-05-29,0.1121,True
300565,科信技术,95,2026-01-05,2026-05-29,0.1121,True
300566,激智科技,95,2026-01-05,2026-05-29,0.1121,True
300569,天能重工,0,,,1.0,False
300571,平治信息,0,,,1.0,False
300572,安车检测,0,,,1.0,False
