stock_code,stock_name,index_code,index_name,exchange,in_date,source,download_date,指数英文名称,成分券英文名称,exchange_en
000931,中关村,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,Beijing Centergate Technologies (Holding) Co Ltd,Shenzhen Stock Exchange
000936,华西股份,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,Jiangsu Huaxicun Co Ltd,Shenzhen Stock Exchange
000948,南天信息,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,Yunnan Nantian Electronics Information Co Ltd,Shenzhen Stock Exchange
000949,新乡化纤,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,Xinxiang Chemical Fiber Co Ltd,Shenzhen Stock Exchange
000957,中通客车,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,"Zhongtong Bus Co.,LTD",Shenzhen Stock Exchange
000962,东方钽业,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,Ningxia Orient Tantalum Industry Co Ltd,Shenzhen Stock Exchange
000965,天保基建,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,"Tianjin Tianbao Infrastructure Co.,Ltd.",Shenzhen Stock Exchange
000968,蓝焰控股,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,Shanxi Blue Flame Holding Company Limited,Shenzhen Stock Exchange
000973,佛塑科技,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,FSPG Hi-tech Co Ltd,Shenzhen Stock Exchange
000978,桂林旅游,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,Guilin Tourism Corp Ltd,Shenzhen Stock Exchange
000989,九芝堂,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,Jiuzhitang Co Ltd,Shenzhen Stock Exchange
000993,闽东电力,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,"FUJIAN MINDONG ELECTRIC POWER GROUP CO., LTD",Shenzhen Stock Exchange
001205,盛航股份,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,"Nanjing Shenghang Shipping Co., Ltd.",Shenzhen Stock Exchange
001206,依依股份,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,"Tianjin Yiyi Hygiene Products Co., ltd.",Shenzhen Stock Exchange
001207,联科科技,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,"Shandong Link Science and Technology Co.,Ltd.",Shenzhen Stock Exchange
001208,华菱线缆,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,"HUNAN VALIN WIRE & CABLE CO.,LTD.",Shenzhen Stock Exchange
001212,中旗新材,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,"SINOSTONE(GUANGDONG) CO.,LTD.",Shenzhen Stock Exchange
001215,千味央厨,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,"Zhengzhou Qianweiyangchu Food Co.,Ltd",Shenzhen Stock Exchange
001216,华瓷股份,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,"Hunan Hualian China Industry Co., Ltd.",Shenzhen Stock Exchange
