date,open,high,low,close,volume,amount,index_code,source
2026-02-09,3495.5,3525.84,3489.47,3525.83,351660425,524870841807.0,932000,stock_zh_index_daily_em(csi932000)
2026-02-10,3526.05,3533.65,3505.29,3522.23,341630218,499000916969.0,932000,stock_zh_index_daily_em(csi932000)
2026-02-11,3515.91,3530.51,3506.79,3506.97,307547462,454606846677.0,932000,stock_zh_index_daily_em(csi932000)
2026-02-12,3510.91,3534.77,3489.41,3516.29,326414685,483465950479.0,932000,stock_zh_index_daily_em(csi932000)
2026-02-13,3505.56,3536.38,3491.17,3493.19,286180529,434090960164.0,932000,stock_zh_index_daily_em(csi932000)
2026-02-24,3530.82,3547.89,3500.67,3536.69,329427376,485267169713.0,932000,stock_zh_index_daily_em(csi932000)
2026-02-25,3541.41,3577.65,3530.65,3573.63,361067242,517633879307.0,932000,stock_zh_index_daily_em(csi932000)
2026-02-26,3577.08,3602.72,3567.72,3601.89,369250933,547112565871.0,932000,stock_zh_index_daily_em(csi932000)
2026-02-27,3579.95,3630.83,3576.67,3630.83,349199907,530339202892.0,932000,stock_zh_index_daily_em(csi932000)
2026-03-02,3581.48,3612.86,3544.67,3570.24,423441358,630107206217.0,932000,stock_zh_index_daily_em(csi932000)
2026-03-03,3578.03,3583.13,3418.82,3421.75,451636614,651621469069.0,932000,stock_zh_index_daily_em(csi932000)
2026-03-04,3372.51,3458.66,3372.51,3419.57,361728721,499982995733.0,932000,stock_zh_index_daily_em(csi932000)
2026-03-05,3477.98,3496.74,3456.08,3475.28,371297973,536998362193.0,932000,stock_zh_index_daily_em(csi932000)
2026-03-06,3458.54,3527.11,3457.27,3521.95,353038194,507347123311.0,932000,stock_zh_index_daily_em(csi932000)
2026-03-09,3466.95,3499.34,3411.3,3492.62,386634018,553650134260.0,932000,stock_zh_index_daily_em(csi932000)
2026-03-10,3517.98,3569.15,3517.98,3568.96,352630013,537136195359.0,932000,stock_zh_index_daily_em(csi932000)
2026-03-11,3575.76,3590.54,3545.11,3559.25,369508922,560818172736.0,932000,stock_zh_index_daily_em(csi932000)
2026-03-12,3554.87,3556.29,3497.6,3517.99,365377372,525605863312.0,932000,stock_zh_index_daily_em(csi932000)
2026-03-13,3503.36,3527.29,3463.65,3471.5,362964883,504132007172.0,932000,stock_zh_index_daily_em(csi932000)
2026-03-16,3468.61,3482.18,3433.34,3482.18,354773528,487926051361.0,932000,stock_zh_index_daily_em(csi932000)
2026-03-17,3488.46,3489.59,3394.74,3395.19,351436205,476694376713.0,932000,stock_zh_index_daily_em(csi932000)
2026-03-18,3405.77,3448.37,3387.39,3448.37,319698866,443943845314.0,932000,stock_zh_index_daily_em(csi932000)
2026-03-19,3406.45,3412.59,3346.98,3360.33,330332045,456387851915.0,932000,stock_zh_index_daily_em(csi932000)
2026-03-20,3375.39,3387.09,3273.54,3273.54,353549088,482742287418.0,932000,stock_zh_index_daily_em(csi932000)
2026-03-23,3206.77,3239.49,3078.05,3097.13,402279162,508712678592.0,932000,stock_zh_index_daily_em(csi932000)
2026-03-24,3162.12,3213.0,3106.11,3213.0,359135031,458328223146.0,932000,stock_zh_index_daily_em(csi932000)
2026-03-25,3231.77,3290.75,3231.77,3286.4,347969324,468318783205.0,932000,stock_zh_index_daily_em(csi932000)
