序号,stock_code,stock_name,资产-货币资金,资产-应收账款,资产-存货,total_assets,资产-总资产同比,负债-应付账款,负债-预收账款,total_liabilities,负债-总负债同比,asset_liability_ratio,equity,announcement_date,report_date_param
142,688257,新锐股份,520917639.17,878184031.27,1391315611.44,5871744888.74,34.3872842769,320769627.91,,2939481720.65,58.3442572369,50.0614685472,2932263168.09,2026-04-30,20260331
146,688239,航宇科技,655820786.5,1291869676.01,1161723302.72,5187007427.24,19.8489401751,710009835.6,,3103536519.46,28.1417448636,59.8328913732,2083470907.78,2026-04-30,20260331
151,688219,会通股份,882765342.68,1613112503.16,670377940.77,7178531060.49,2.0052366774,526192695.59,,4093991377.98,-13.4383259363,57.0310463726,3084539682.51,2026-04-30,20260331
154,688212,澳华内镜,368729834.4,398705845.89,260210153.03,1997460396.97,15.9553180571,140409683.93,,697383818.62,77.5838705934,34.9135241769,1300076578.35,2026-04-30,20260331
157,688202,美迪西,154174335.03,492264495.89,146654806.94,2766173158.93,-2.5396742484,161452290.69,,807848771.7,13.3552835068,29.2045625955,1958324387.23,2026-04-30,20260331
163,688176,亚虹医药,628452894.18,104341142.57,18006043.39,1995176656.42,-7.6975113273,52687514.31,,543867158.94,99.7253822499,27.2590979445,1451309497.48,2026-04-30,20260331
164,688173,希荻微,607136102.1,182324990.23,319483678.69,2228100892.96,24.9908394424,84394342.39,,743091994.3,223.486154808,33.3509131767,1485008898.66,2026-04-30,20260331
169,688159,有方科技,531163467.08,614975844.54,429911796.29,3014762363.25,41.5217431394,481340290.86,1770420.7,2081331790.53,65.437631617,69.0380049818,933430572.72,2026-04-30,20260331
170,688155,先惠技术,407513589.16,1326488081.23,1774111149.65,6122978698.99,11.6965760754,920708209.49,,3353595349.79,11.1112392818,54.7706519107,2769383349.2,2026-04-30,20260331
171,688152,麒麟信安,138479781.0,282231112.35,84405241.92,1380346161.62,-0.6750569094,40057073.91,,169712281.22,11.595241861,12.2949073166,1210633880.4,2026-04-30,20260331
175,688133,泰坦科技,730248584.09,734822782.83,1058451732.92,4855054994.85,0.0780463543,166474243.47,,2065962135.75,4.4860197988,42.5528060535,2789092859.1,2026-04-30,20260331
184,688079,美迪凯,115667556.19,102763893.53,118815089.81,3321243565.77,8.8681177819,253074243.32,637408.63,2038868511.97,22.7608447738,61.388707922,1282375053.8,2026-04-30,20260331
187,688073,毕得医药,838112647.61,255238123.12,966603499.27,2542130481.33,-4.7631509542,164190232.79,,442162938.9,-30.4667079036,17.39340062,2099967542.43,2026-04-30,20260331
188,688071,华依科技,105433872.53,632620730.78,98640950.31,2404110055.16,5.4230898386,174822295.77,,1379995584.73,16.0378420224,57.4015146174,1024114470.43,2026-04-30,20260331
189,688070,纵横股份,94036898.02,231365875.32,226443649.37,1137882661.71,10.469605115,95575592.37,,550015387.43,13.3445815248,48.3367403282,587867274.28,2026-04-30,20260331
199,688031,星环科技,242918568.92,256529776.69,50403407.78,1084165791.29,-19.0663682073,91436849.58,,277652287.47,-12.1082172058,25.6097627965,806513503.82,2026-04-30,20260331
201,688025,杰普特,864102504.31,618648865.1,835388738.95,3669558393.66,29.324303547,493161770.76,,1252303173.81,63.9838858658,34.1268087183,2417255219.85,2026-04-30,20260331
204,688020,方邦股份,406044005.78,126946896.7,83129930.76,1729571202.35,-3.2875700329,44557784.17,,391551315.57,0.4389604156,22.6386352316,1338019886.78,2026-04-30,20260331
211,605588,冠石科技,440257514.64,341001075.74,120052018.05,2860679161.72,-0.3471937862,263384245.17,,1914838060.97,4.1676067478,66.9364844053,945841100.75,2026-04-30,20260331
214,605399,晨光新材,305107663.91,173851263.38,264268656.67,3178882468.64,-4.3401682098,253085370.95,,1120471063.29,-0.0952324203,35.2473258871,2058411405.35,2026-04-30,20260331
215,605366,宏柏新材,871450243.72,368826361.34,219231336.17,4163684524.28,1.6732397495,150766939.13,,1150157798.81,-42.6059786531,27.6235577432,3013526725.47,2026-04-30,20260331
217,605288,凯迪股份,705175424.98,247397382.48,357063261.62,2832754045.75,-0.7279477863,244734715.69,,592794216.42,-3.4220192235,20.9264273158,2239959829.33,2026-04-30,20260331
219,605286,同力天启,1169357849.97,1023373678.15,260460710.85,5238416798.99,16.8315568373,580104239.56,,2628306920.95,27.354447451,50.1736883834,2610109878.04,2026-04-30,20260331
220,605259,绿田机械,852880573.65,441664230.28,559527166.31,2771725366.56,2.8855787205,549086660.4,,892860293.13,-4.9551650755,32.2131587748,1878865073.43,2026-04-30,20260331
224,605158,华达新材,4058145631.44,129172548.22,1538833107.78,8244188113.32,4.7569438658,132192778.63,,5820622318.48,9.5022276792,70.6027353873,2423565794.84,2026-04-30,20260331
226,605128,上海沿浦,555658830.98,955192744.31,173905394.25,3149861775.26,7.0638563048,712957904.57,,953041872.32,5.4471429629,30.256625221,2196819902.94,2026-04-30,20260331
230,605108,同庆楼,126101701.89,55188975.08,115948905.62,6037791545.65,8.9429265349,323327098.9,47970.0,3704658101.5,13.7921346844,61.3578337955,2333133444.15,2026-04-30,20260331
232,605077,华康股份,1018786144.91,637621109.48,916510044.7,8081838747.66,6.2618653565,585204399.64,,4798168955.47,12.4566257465,59.3697685055,3283669792.19,2026-04-30,20260331
234,605068,明新旭腾,187320599.94,491197787.18,833706737.35,3667827144.53,3.6435612638,379065410.86,,1975284594.33,6.238395055,53.8543534494,1692542550.2,2026-04-30,20260331
235,605056,咸亨国际,315891253.42,1476505078.91,223355678.03,3438764822.96,19.1038114792,1019927930.1,,1568818764.67,38.7943717709,45.6215776722,1869946058.29,2026-04-30,20260331
236,605050,福然德,1099276643.75,1965492931.53,2053087721.65,9095606920.47,1.0154025519,331512640.69,,4446198280.47,-1.9329332702,48.8829202861,4649408640.0,2026-04-30,20260331
238,605016,百龙创园,681948164.96,344001350.43,302541256.31,2799604581.46,28.5527402941,123639536.84,,717552790.59,72.0213804761,25.6305049414,2082051790.87,2026-04-30,20260331
240,605006,山东玻纤,494267915.87,451415222.64,601164710.36,7798340790.4,4.1880137391,1059660307.82,,5203649804.64,7.399003014,66.7276532855,2594690985.76,2026-04-30,20260331
242,603989,艾华集团,338229784.61,1133247837.64,1055715330.78,6180807488.23,5.2002377848,523257414.81,,2228696280.0,5.2228537613,36.0583351648,3952111208.23,2026-04-30,20260331
243,603988,中电电机,75329177.79,209752238.48,241704411.47,1076153836.06,-4.6161114905,98548592.11,,409683505.78,-15.0182544004,38.0692324882,666470330.28,2026-04-30,20260331
246,603980,吉华集团,1153103077.01,441032985.95,408451352.77,4446710650.72,-0.2629882808,206470455.01,,494930674.57,-10.0124708613,11.1302648957,3951779976.15,2026-04-30,20260331
251,603950,长源东谷,652038929.52,658442328.44,715952328.47,5959991945.14,3.1371971077,851512050.87,,2844632593.72,-5.8401840088,47.7287992988,3115359351.42,2026-04-30,20260331
252,603929,亚翔集成,3469393079.53,823193856.3,11421038.82,5612707907.21,13.2189925787,1958769504.5,,3071285010.78,1.8006009622,54.7202003303,2541422896.43,2026-04-30,20260331
254,603918,金桥信息,420942348.65,168237894.28,177846440.63,1296034634.28,-15.2511178536,152257127.48,,319775779.1,-37.1157083315,24.6733976579,976258855.18,2026-04-30,20260331
255,603917,合力科技,572090265.51,334242227.35,326178629.31,2038875587.88,0.6881492395,91731144.57,,343666943.71,1.8481323811,16.8557093799,1695208644.17,2026-04-30,20260331
256,603912,佳力图,1263498873.87,355029621.12,434858648.97,3880621696.07,12.592666993,411886201.95,,2112692758.15,34.253766722,54.4421209697,1767928937.92,2026-04-30,20260331
268,603859,能科科技,128868431.67,1827905616.2,215887102.92,4886334924.26,9.036554237,326037185.91,,1517651971.59,8.5038069447,31.059106572,3368682952.67,2026-04-30,20260331
274,603823,百合花,645454782.8,519903580.22,525863494.68,3490017871.33,2.9945467614,231084473.61,,783769854.81,1.2580364209,22.4574739645,2706248016.52,2026-04-30,20260331
278,603815,交建股份,440134981.03,3196061895.56,111389978.67,8269829468.99,-16.7077697653,3976029608.48,,6602185911.72,-11.5003982511,79.8346076721,1667643557.27,2026-04-30,20260331
282,603801,志邦家居,566214220.44,278548018.47,318269210.05,6148750051.47,-8.5369245192,424400047.71,,2948924782.28,-7.5726589736,47.9597439739,3199825269.19,2026-04-30,20260331
283,603800,洪田股份,219725583.11,435164752.65,599811083.89,2491304270.64,-19.9551777107,358846499.91,18727124.21,1558770518.44,-28.6199807279,62.5684520679,932533752.2,2026-04-30,20260331
286,603759,海天股份,1321524650.04,1821974498.76,267781537.69,9456894804.59,23.9704267372,409680419.88,,6268052996.02,36.4074028578,66.2802444728,3188841808.57,2026-04-30,20260331
287,603738,泰晶科技,133005454.79,262166183.49,272210770.39,2261974548.52,5.4543742107,138243040.29,,436957489.69,20.2103625804,19.3175245927,1825017058.83,2026-04-30,20260331
291,603726,朗迪集团,323147842.19,542407618.55,387195644.44,2493993984.44,-2.7695417353,248685391.74,,996180172.04,-19.138282103,39.9431665936,1497813812.4,2026-04-30,20260331
296,603711,香飘飘,2248939401.8,67088031.64,160373991.18,5236938097.18,16.1460676417,236244058.01,,1658230815.03,61.4213491938,31.6641286236,3578707282.15,2026-04-30,20260331
303,603687,大胜达,970847042.41,606664486.6,411832827.25,4504092025.02,1.217009178,281306587.73,,966886346.82,9.2181027047,21.4668426277,3537205678.2,2026-04-30,20260331
304,603668,天马科技,474292070.02,454303823.24,3697803155.45,9569698552.65,1.5609739169,635038779.54,9206492.06,6875158799.83,4.5254598207,71.8430028073,2694539752.82,2026-04-30,20260331
307,603665,康隆达,173802882.44,173703813.75,423865550.25,2545192678.34,-10.395459619,398239685.24,,1846034825.74,-7.7205398636,72.5302583749,699157852.6,2026-04-30,20260331
311,603628,清源股份,347656386.79,1035370735.0,250468867.0,3222709010.51,2.3978468692,170240185.39,,1890273076.58,2.9315922612,58.654786095,1332435933.93,2026-04-30,20260331
314,603602,纵横通信,282594667.82,793585970.2,366986435.95,2323904142.34,-5.6401717931,424301327.55,1740686.67,1407129673.27,0.2883584178,60.5502459259,916774469.07,2026-04-30,20260331
315,603598,引力传媒,111032083.25,1348045867.02,,2405576968.9,23.2200027581,297630713.45,,2182112505.98,23.9727952159,90.7105669114,223464462.92,2026-04-30,20260331
317,603577,汇金通,220294006.98,1705041706.2,1274407781.43,6029262196.11,0.9889673195,507691801.13,102763.62,3984320625.98,-0.4253836944,66.0830545494,2044941570.13,2026-04-30,20260331
318,603569,长久物流,905300191.99,1150915281.25,186916467.05,5839859849.48,-2.0064216208,673231909.47,3218970.34,2884193678.11,7.5516041828,49.3880632832,2955666171.37,2026-04-30,20260331
323,603535,嘉诚国际,388416360.32,487463595.62,108236665.62,4937548424.14,4.10783575,488821286.76,,2336576291.41,12.5450632,47.3226000172,2600972132.73,2026-04-30,20260331
325,603528,多伦科技,291835960.4,216218025.75,132818383.71,2298268905.4,-4.4958557445,139513379.81,,369280040.67,-1.6300654958,16.0677473294,1928988864.73,2026-04-30,20260331
326,603520,司太立,308013792.74,597121163.42,1144918408.73,6274469605.46,0.7406027005,407990206.18,90000.0,3693174781.71,3.1836324057,58.86035018,2581294823.75,2026-04-30,20260331
327,603507,振江股份,935383295.12,894580997.49,1721914875.91,9332962817.23,28.8366705799,1009501329.52,,6686310690.8,41.7610731539,71.6418871664,2646652126.43,2026-04-30,20260331
330,603500,祥和实业,665883108.71,483648849.05,146520303.94,1977228582.16,26.6320596245,106784308.39,,828110175.21,57.2027101163,41.8823692254,1149118406.95,2026-04-30,20260331
331,603499,翔港科技,129569458.27,341368542.39,107875338.29,1615125182.78,2.4419527499,164274917.47,1075398.13,620636346.58,-5.2974532058,38.4265166067,994488836.2,2026-04-30,20260331
333,603409,汇通控股,490843874.07,435935288.59,101646124.61,2159184907.77,0.7585419128,365074085.68,,601562696.09,-10.43440445,27.8606382402,1557622211.68,2026-04-30,20260331
340,603381,永臻股份,1098989034.7,2413079747.44,973244967.69,11845060303.03,0.9802172806,127969687.45,,8500850553.19,6.8401293404,71.7670517137,3344209749.84,2026-04-30,20260331
343,603368,柳药集团,2211949416.41,11155901853.54,3394757882.47,20818262607.17,-0.8504794498,3492583043.0,,12503952063.63,-2.1648738554,60.0624187502,8314310543.54,2026-04-30,20260331
346,603357,设计总院,802001824.43,1575492997.07,868599.54,6597109913.29,-0.3436456943,1506465876.14,,2536111848.43,-5.7929916826,38.4427708764,4060998064.86,2026-04-30,20260331
349,603350,安乃达,393582391.38,478900789.42,236603861.2,2484883672.14,15.7847531895,285306824.94,,1116203558.88,37.3207152125,44.9197510288,1368680113.26,2026-04-30,20260331
350,603344,星德胜,1014163426.97,464155321.38,535963761.13,3258242469.22,13.3219002763,581467379.1,,1088418766.71,34.5248480547,33.4050880802,2169823702.51,2026-04-30,20260331
351,603339,四方科技,663646142.85,47114154.62,932798019.47,3683978893.96,12.2407758101,117720458.53,,984893548.84,48.5433739276,26.7345057393,2699085345.12,2026-04-30,20260331
352,603336,宏辉果蔬,466442299.41,499950870.06,79164578.93,1781431230.16,-7.4680522711,48291670.04,,341418931.44,-54.4433958643,19.1654286542,1440012298.72,2026-04-30,20260331
353,603333,尚纬股份,763033880.03,807288636.77,353769756.65,4927040290.18,63.755584608,199492963.56,82186.51,2392665571.45,156.0323312701,48.5619242087,2534374718.73,2026-04-30,20260331
355,603324,盛剑科技,246820914.13,724284236.36,776910607.41,3358412164.15,-9.0670846491,461826342.45,,1718720572.76,-13.7272992657,51.1765825263,1639691591.39,2026-04-30,20260331
359,603315,福鞍股份,198843517.7,966862644.19,618267115.29,3123652617.72,4.9981014075,156921027.5,,1368124839.92,6.8343032298,43.7988793043,1755527777.8,2026-04-30,20260331
362,603286,日盈电子,149984968.3,276087789.11,256876001.64,1889071577.12,-0.7797822347,250366124.37,,1079166693.7,6.5896547044,57.1268292197,809904883.42,2026-04-30,20260331
363,603280,南方路机,503762377.74,262882173.02,670266424.93,2241947268.81,4.7195956057,74778638.71,,854876109.16,4.1502251107,38.1309641423,1387071159.65,2026-04-30,20260331
364,603278,大业股份,1003010975.72,1177634615.86,841312579.55,8489185657.31,7.9917649514,766915003.31,1299539.46,6552990819.88,11.7983601726,77.1922194237,1936194837.43,2026-04-30,20260331
365,603271,永杰新材,756572163.97,1156060126.33,1144758438.96,5198404620.97,10.6434592712,108787768.05,191539.81,2155299637.48,6.975771085,41.4607902737,3043104983.49,2026-04-30,20260331
366,603266,天龙股份,301356912.34,440973247.39,239014181.91,2213584637.71,5.7966118045,258604712.59,,590858924.1,7.8492557781,26.6924026321,1622725713.61,2026-04-30,20260331
368,603258,电魂网络,879397410.28,15732344.28,3499126.98,2222017649.98,-11.5659521681,19334732.92,5227249.88,273572585.3,-12.6637805188,12.3118997413,1948445064.68,2026-04-30,20260331
369,603237,五芳斋,548814248.51,65689006.2,324281090.8,2628779960.25,-0.9221292292,161752027.3,670439.47,1007296417.13,3.0315386194,38.3180194752,1621483543.12,2026-04-30,20260331
371,603232,格尔软件,82810342.97,276232009.62,170289575.0,1595505039.85,-0.4511966471,78265287.13,,295239667.9,26.3173968204,18.5044647636,1300265371.95,2026-04-30,20260331
373,603222,济民健康,282188756.89,110623115.56,104099453.07,2268428780.24,-12.5452481716,100699557.29,8562.72,1067722512.6,2.3273177584,47.0688135286,1200706267.64,2026-04-30,20260331
374,603215,比依股份,256010962.4,1009195842.04,410578880.94,3830371547.75,27.1786812684,1057257212.82,41722.95,2595603364.35,42.9253592152,67.7637490774,1234768183.4,2026-04-30,20260331
376,603211,晋拓股份,114947676.78,418962988.02,326781008.9,2192641967.62,13.9430490339,191074059.33,,930796812.77,31.7762062258,42.4509257104,1261845154.85,2026-04-30,20260331
377,603210,泰鸿万立,261799972.43,647441050.62,311509453.63,3402261552.09,56.3583645539,339457966.46,,1443508915.88,36.2717930884,42.4279231264,1958752636.21,2026-04-30,20260331
380,603191,望变电气,1058644961.92,2087005664.17,1066099822.64,7078440973.49,4.0013829371,726478277.52,,4572026204.07,8.0716858224,64.5908643046,2506414769.42,2026-04-30,20260331
388,603168,莎普爱思,72081408.12,26738612.82,87589087.96,1771047991.09,-15.878485081,95508832.65,,445940463.51,-11.8823822622,25.179468075,1325107527.58,2026-04-30,20260331
389,603167,渤海轮渡,220636005.73,18918827.7,157468442.74,4188192759.07,-3.5079871443,39079129.75,3434067.75,387744007.81,-16.2395969895,9.2580267938,3800448751.26,2026-04-30,20260331
