序号,stock_code,stock_name,net_profit,net_profit_yoy,revenue,revenue_yoy,营业总支出-营业支出,营业总支出-销售费用,营业总支出-管理费用,营业总支出-财务费用,营业总支出-营业总支出,operating_profit,total_profit,announcement_date,report_date_param
100,688418,震有科技,-44904364.54,-2313.95,116513121.36,-30.8496983255,71364853.21,23322099.08,16931689.88,6955007.32,162375337.97,-51609220.0,-51672393.98,2026-04-30,20260331
101,688410,山外山,54476678.85,47.21,229628936.29,21.3283648714,103085788.87,45607003.91,11152978.74,74955.71,176303733.89,63923463.73,62162181.52,2026-04-30,20260331
105,688401,路维光电,68222926.31,38.81,326568217.57,25.564540578,210993294.03,5260716.85,12848943.08,630346.01,245267581.73,74824343.57,74824343.57,2026-04-30,20260331
106,688399,硕世生物,21122244.19,64.77,78583971.79,-14.2174738771,32441775.11,24940869.0,14284406.03,2401174.67,90699617.91,25224954.17,26662962.33,2026-04-30,20260331
108,688386,泛亚微透,18160088.64,-24.59,164002454.85,24.9498053384,97372056.98,7169283.37,17765137.04,4043104.84,138034403.33,24545320.59,24537496.63,2026-04-30,20260331
110,688379,华光新材,37055188.95,-61.17,1078658556.2,84.107422414,948318878.02,7529824.42,16692657.68,19609600.9,1019391232.73,40223300.47,40150137.26,2026-04-30,20260331
114,688360,德马科技,37057112.95,17.14,397382872.54,13.2218928292,267277950.93,14124607.4,32624100.47,5458778.58,352247300.75,45080728.71,45122157.52,2026-04-30,20260331
116,688353,华盛锂电,97017036.04,325.18735619606,327009427.45,96.8250370344,147533418.8,2152869.63,24482938.01,2694811.13,195095687.39,111443604.99,111195015.25,2026-04-30,20260331
120,688339,亿华通,-51043437.82,45.119307319912,16673836.66,58.4020984948,22670461.76,8834379.55,40837380.21,3855906.08,81815845.48,-60664056.38,-60760946.57,2026-04-30,20260331
123,688325,赛微微电,11208970.46,-28.19,106971056.13,17.216570762,50710867.55,6910282.05,9347619.77,541294.43,106267762.39,9493725.59,9707104.73,2026-04-30,20260331
126,688319,欧林生物,27189316.87,484.360417765911,157803808.92,80.3672423368,12874679.08,76872019.28,19719862.19,4213823.19,136476818.31,32392401.95,32422385.42,2026-04-30,20260331
128,688317,之江生物,-25510247.42,-59.266510972832,25419230.44,-20.8978101489,7916025.78,9072612.64,17918244.21,9376422.37,57769206.0,-23585534.64,-23896668.03,2026-04-30,20260331
132,688305,科德数控,22548248.36,6.85,108094698.67,-17.3956896009,60599830.71,10855869.33,9170428.06,-55532.17,90658429.24,25143342.36,24755196.66,2026-04-30,20260331
136,688286,敏芯股份,-10361009.2,-463.72,107022596.26,-20.7021459557,80097761.16,5309533.97,10862312.55,123112.03,114781026.64,-10864088.65,-10847669.57,2026-04-30,20260331
138,688275,万润新能,400978712.22,357.289856658212,5380056775.35,136.1573292864,4608079673.12,8134554.7,77656114.85,54698385.19,4813715168.16,463759259.01,463640230.26,2026-04-30,20260331
141,688261,东微半导,5557920.59,-28.8,279775301.7,-1.0993764386,233124769.59,8680071.52,16140947.27,-171170.32,281803770.28,1277936.18,1285481.61,2026-04-30,20260331
142,688257,新锐股份,312303489.06,576.15,1117720354.8,111.5669933744,591764657.02,41596517.72,60200274.95,9881135.04,741472171.85,377052732.87,376849234.63,2026-04-30,20260331
146,688239,航宇科技,56397377.95,31.65,531132161.68,25.882476741,371621795.25,9280237.12,25281035.17,13376619.94,445051853.53,61634633.84,62758460.68,2026-04-30,20260331
151,688219,会通股份,55092141.83,11.1,1639884323.86,11.7454796726,1414058612.58,44641265.96,45183931.99,7523430.24,1596616206.72,54631437.49,53990861.23,2026-04-30,20260331
154,688212,澳华内镜,-24433325.62,15.136898609651,137504067.69,11.1343082645,39014571.95,55715060.0,23258217.61,3358332.36,166236235.26,-31509131.91,-31728020.47,2026-04-30,20260331
157,688202,美迪西,15615353.71,207.345400888381,364644480.63,36.5242815642,269636182.34,22658376.67,27727749.72,5426365.95,351776025.38,15801151.02,15822637.9,2026-04-30,20260331
163,688176,亚虹医药,-112398504.64,-34.559453147934,71085894.94,16.3413834072,19504870.05,73100728.75,19716939.79,3106401.41,189734751.55,-112359970.17,-114384224.42,2026-04-30,20260331
164,688173,希荻微,-7640066.46,71.978280908038,251410914.78,41.4970111102,178375120.97,14161922.99,16738003.92,6231908.23,265369583.85,-10053438.66,-10038737.2,2026-04-30,20260331
