stock_code,stock_name,total_share,float_share,total_market_value,float_market_value,industry,listing_date,source,download_date
300139,晓程科技,274000000.0,233659225.0,10759980000.0,9175797765.75,贵金属,20101112,stock_individual_info_em,20260608
300143,盈康生命,972931746.0,833634917.0,7151048333.099999,6127216639.95,医疗服务,20101209,stock_individual_info_em,20260608
300145,南方泵业,1920242036.0,1910828698.0,9716424702.16,9668793211.88,通用设备,20101209,stock_individual_info_em,20260608
300148,天舟文化,843159343.0,814114896.0,2951057700.5,2849402136.0,出版,20101215,stock_individual_info_em,20260608
300149,睿智医药,497963992.0,474563469.0,3894078417.44,3711086327.58,医疗服务,20101222,stock_individual_info_em,20260608
300150,世纪瑞尔,585106053.0,463663232.0,2416487998.89,1914929148.16,IT服务Ⅱ,20101222,stock_individual_info_em,20260608
300153,科泰电源,320000000.0,318330118.0,7705599999.999999,7665389241.44,其他电源设备Ⅱ,20101229,stock_individual_info_em,20260608
300154,瑞凌股份,449555201.0,315154451.0,4158385609.25,2915178671.75,通用设备,20101229,stock_individual_info_em,20260608
300160,秀强股份,772946292.0,762159517.0,3748789516.2,3696473657.45,家电零部件Ⅱ,20110113,stock_individual_info_em,20260608
300161,华中数控,198696906.0,194994303.0,6274848291.48,6157920088.74,通用设备,20110113,stock_individual_info_em,20260608
300162,雷曼光电,419510030.0,342161780.0,4547488725.2,3709033695.2,光学光电子,20110113,stock_individual_info_em,20260608
300221,银禧科技,473754685.0,457164079.0,6803117276.599999,6564876174.44,塑料,20110525,stock_individual_info_em,20260608
300230,永利股份,813213441.0,629822499.0,3870895979.16,2997955095.24,塑料,20110615,stock_individual_info_em,20260608
300231,银信科技,444296866.0,444274051.0,3798738204.3,3798543136.05,IT服务Ⅱ,20110615,stock_individual_info_em,20260608
300235,方直科技,251746635.0,203132791.0,3524452890.0,2843859074.0,软件开发,20110629,stock_individual_info_em,20260608
300238,冠昊生物,265155701.0,265134082.0,2879590912.86,2879356130.52,医疗器械,20110706,stock_individual_info_em,20260608
300239,东宝生物,593623165.0,589777015.0,2831582497.05,2813236361.55,生物制品,20110706,stock_individual_info_em,20260608
300240,飞力达,371562950.0,363352649.0,2069605631.5,2023874254.93,物流,20110706,stock_individual_info_em,20260608
300241,瑞丰光电,708719690.0,593124935.0,5634321535.5,4715343233.25,光学光电子,20110712,stock_individual_info_em,20260608
300247,融捷健康,804040313.0,803020313.0,3288524880.17,3284353080.17,其他家电Ⅱ,20110729,stock_individual_info_em,20260608
300248,新开普,476348393.0,409042518.0,4220446761.98,3624116709.48,计算机设备,20110729,stock_individual_info_em,20260608
300249,依米康,440487994.0,374109619.0,6466363751.92,5491929206.92,计算机设备,20110803,stock_individual_info_em,20260608
300250,初灵信息,213749479.0,157424468.0,3387929242.15,2495177817.8,IT服务Ⅱ,20110803,stock_individual_info_em,20260608
300252,金信诺,684213953.0,558778634.0,11097950317.66,9063389443.48,军工电子Ⅱ,20110818,stock_individual_info_em,20260608
300258,精锻科技,585047243.0,569891488.0,7669969355.73,7471277407.679999,汽车零部件,20110826,stock_individual_info_em,20260608
300263,隆华科技,1035006302.0,975527896.0,11757671590.72,11081996898.56,通用设备,20110916,stock_individual_info_em,20260608
300264,佳创视讯,430857518.0,370386453.0,3158185606.94,2714932700.49,IT服务Ⅱ,20110916,stock_individual_info_em,20260608
300265,通光线缆,467601335.0,467300210.0,10773534758.4,10766596838.4,电网设备,20110916,stock_individual_info_em,20260608
300272,开能健康,611469472.0,464447015.0,3503720074.5600004,2661281395.9500003,小家电,20111102,stock_individual_info_em,20260608
300314,戴维医疗,288000000.0,143741448.0,2802240000.0,1398604289.04,医疗器械,20120508,stock_individual_info_em,20260608
300317,珈伟新能,830188405.0,828913405.0,4250564633.6,4244036633.6,电力,20120511,stock_individual_info_em,20260608
300318,博晖创新,816900495.0,792419147.0,3814925311.65,3700597416.49,生物制品,20120523,stock_individual_info_em,20260608
300320,海达股份,601234191.0,485329601.0,4972206759.57,4013675800.27,橡胶,20120601,stock_individual_info_em,20260608
300328,宜安科技,690423600.0,687042525.0,14243438868.0,14173687290.75,工业金属,20120619,stock_individual_info_em,20260608
300331,苏大维格,259662286.0,222130818.0,13520615232.02,11566351693.26,光学光电子,20120628,stock_individual_info_em,20260608
300332,天壕能源,847687031.0,812465056.0,4043467137.87,3875458317.12,燃气Ⅱ,20120628,stock_individual_info_em,20260608
300335,迪森股份,477012388.0,384159339.0,2618798010.12,2109034771.11,电力,20120710,stock_individual_info_em,20260608
300340,科恒股份,275514715.0,273463062.0,2581572879.55,2562348890.94,电池,20120726,stock_individual_info_em,20260608
300342,天银机电,425035113.0,418798863.0,21000984933.33,20692851820.83,家电零部件Ⅱ,20120726,stock_individual_info_em,20260608
300345,华民股份,580478945.0,479596195.0,3320339565.4,2743290235.4,光伏设备,20120801,stock_individual_info_em,20260608
300349,金卡智能,417213313.0,369719653.0,4893912161.49,4336811529.690001,通用设备,20120817,stock_individual_info_em,20260608
300350,华鹏飞,562012279.0,471565417.0,2444753413.65,2051309563.95,物流,20120821,stock_individual_info_em,20260608
300351,永贵电器,388910028.0,263415573.0,6280896952.2,4254161503.95,轨交设备Ⅱ,20120920,stock_individual_info_em,20260608
300354,东华测试,138320201.0,81309019.0,4458060078.23,2620589682.37,通用设备,20120920,stock_individual_info_em,20260608
300355,蒙草生态,1604242081.0,1366290794.0,4828768663.809999,4112535289.94,基础建设,20120927,stock_individual_info_em,20260608
300359,全通教育,633333422.0,633301697.0,2495333682.68,2495208686.18,教育,20140121,stock_individual_info_em,20260608
300365,恒华科技,599855469.0,511724617.0,2993278790.31,2553505838.83,软件开发,20140123,stock_individual_info_em,20260608
300374,中铁装配,245912337.0,245883447.0,2859960479.3100004,2859624488.61,基础建设,20150319,stock_individual_info_em,20260608
300375,鹏翎股份,759738818.0,528247704.0,3244084752.86,2255617696.08,汽车零部件,20140127,stock_individual_info_em,20260608
300380,安硕信息,138439050.0,127365543.0,4074261241.5,3748367930.49,软件开发,20140128,stock_individual_info_em,20260608
300381,溢多利,480173861.0,478453174.0,2804215348.24,2794166536.16,化学制药,20140128,stock_individual_info_em,20260608
300382,斯莱克,648399994.0,648338222.0,10004811907.42,10003858765.46,专用设备,20140129,stock_individual_info_em,20260608
300435,中泰股份,385713000.0,368874635.0,6595692300.000001,6307756258.500001,燃气Ⅱ,20150326,stock_individual_info_em,20260608
300436,广生堂,159267000.0,136721969.0,13789336860.0,11837388076.02,化学制药,20150422,stock_individual_info_em,20260608
300439,美康生物,384318815.0,292332051.0,3335887314.2,2537442202.68,医疗器械,20150422,stock_individual_info_em,20260608
300440,运达科技,439516600.0,437821565.0,8047548945.999999,8016512855.15,IT服务Ⅱ,20150423,stock_individual_info_em,20260608
300441,鲍斯股份,644415868.0,625934061.0,3872939366.68,3761863706.61,通用设备,20150423,stock_individual_info_em,20260608
300444,双杰电气,804620090.0,627441699.0,10403737763.7,8112821168.07,电网设备,20150423,stock_individual_info_em,20260608
300445,康斯特,212430013.0,140551977.0,4930500601.7300005,3262211386.17,通用设备,20150424,stock_individual_info_em,20260608
300447,全信股份,312310375.0,201452815.0,4850180123.75,3128562216.95,军工电子Ⅱ,20150422,stock_individual_info_em,20260608
300448,浩云科技,676517079.0,642567152.0,4810036431.690001,4568652450.72,IT服务Ⅱ,20150424,stock_individual_info_em,20260608
300452,山河药辅,234456278.0,198632230.0,2829887275.46,2397491016.1,化学制药,20150515,stock_individual_info_em,20260608
300453,三鑫医疗,522084275.0,359859715.0,4552574878.0,3137976714.8,医疗器械,20150515,stock_individual_info_em,20260608
300461,田中精机,157056692.0,143703257.0,7406793594.719999,6777045600.12,自动化设备,20150519,stock_individual_info_em,20260608
300465,高伟达,443749357.0,443749357.0,6878115033.5,6878115033.5,软件开发,20150528,stock_individual_info_em,20260608
300466,赛摩智能,535529908.0,448872162.0,4273528665.84,3581999852.76,通用设备,20150528,stock_individual_info_em,20260608
300467,迅游科技,203204897.0,170221829.0,6480204165.33,5428374126.81,游戏Ⅱ,20150527,stock_individual_info_em,20260608
300469,信息发展,248238824.0,248113799.0,12903454071.52,12896955272.02,软件开发,20150611,stock_individual_info_em,20260608
300471,厚普股份,470158731.0,366551986.0,4363073023.679999,3401602430.08,专用设备,20150611,stock_individual_info_em,20260608
300473,德尔股份,172662383.0,150516238.0,5673685905.38,4945963580.68,汽车零部件,20150612,stock_individual_info_em,20260608
300479,神思电子,197040865.0,196928365.0,2797980283.0,2796382783.0,计算机设备,20150612,stock_individual_info_em,20260608
