序号,stock_code,stock_name,net_cash_flow,净现金流-同比增长,operating_cash_flow,经营性现金流-净现金流占比,investing_cash_flow,投资性现金流-净现金流占比,financing_cash_flow,融资性现金流-净现金流占比,announcement_date,report_date_param
157,688202,美迪西,-139238634.0,-353.1327990968,-4836094.93,-3.4732421535,-163029012.1,-117.0860467505,31293851.33,22.474977261,2026-04-30,20260331
163,688176,亚虹医药,-80953572.55,-133.0498166294,-124504467.01,-153.7973718616,32199507.05,39.7752761685,11701689.65,14.4548156201,2026-04-30,20260331
164,688173,希荻微,-157470711.31,-84.9986919382,-46850715.99,-29.7520190264,-291459097.28,-185.0878140166,184604551.34,117.2310392226,2026-04-30,20260331
169,688159,有方科技,-219395749.2,-227.5531740968,-379211560.53,-172.8436225008,-4337732.89,-1.9771271348,164635137.51,75.0402585785,2026-04-30,20260331
170,688155,先惠技术,-403239425.3,-312.548691771,-169248646.26,-41.9722466706,-141522327.29,-35.0963517976,-83739180.3,-20.7666153273,2026-04-30,20260331
171,688152,麒麟信安,-44821512.93,-158.6398692216,-30192151.55,-67.3608487896,-12550755.0,-28.0016317602,-2078606.38,-4.6375194502,2026-04-30,20260331
175,688133,泰坦科技,-151192520.91,4.4940736847,-84359619.12,-55.7961588392,-92139333.53,-60.9417271274,27366681.9,18.100552683,2026-04-30,20260331
184,688079,美迪凯,-9442596.09,-102.2444566895,54946131.26,581.8964481409,-39259722.79,-415.772552546,-23347507.85,-247.2572969072,2026-04-30,20260331
187,688073,毕得医药,-68529144.9,87.4818573826,39430917.74,57.5389023131,-92150760.92,-134.4694451601,-6899124.15,-10.0674306677,2026-04-30,20260331
188,688071,华依科技,24919972.58,226.2761651924,21749337.66,87.2767319072,-35434353.6,-142.1925866341,38631993.81,155.0242227835,2026-04-30,20260331
189,688070,纵横股份,-72774525.13,-20.6805603553,-25190032.64,-34.6138055796,-50380002.12,-69.2275243707,2926921.12,4.0219034267,2026-04-30,20260331
199,688031,星环科技,-111041162.01,-35.721476293,-59320413.83,-53.4220038373,-26990889.02,-24.3071024577,-24115199.32,-21.7173513709,2026-04-30,20260331
201,688025,杰普特,-28077975.96,-125.8470810683,7229357.28,25.7474302646,-93694489.2,-333.693886388,50632024.02,180.3264740027,2026-04-30,20260331
204,688020,方邦股份,45339171.61,-38.8839923792,-27700682.98,-61.0965793956,49970873.89,110.2156746926,23186253.5,51.1395613917,2026-04-30,20260331
211,605588,冠石科技,142033241.66,253.8647961933,40342814.12,28.4037832612,-44962646.86,-31.6564251682,148717861.79,104.7063772198,2026-04-30,20260331
214,605399,晨光新材,-105327556.48,-976.2492332392,-78338060.57,-74.3756555151,-81474076.49,-77.3530491097,55204150.28,52.4118778835,2026-04-30,20260331
215,605366,宏柏新材,-15146042.74,-115.3668237048,-87894296.22,-580.3119516352,73303238.89,483.9761787837,2227202.42,14.7048470563,2026-04-30,20260331
217,605288,凯迪股份,-271800682.0,-61.229633098,39257710.94,14.4435660172,-301059792.35,-110.7649142507,67158.92,0.0247088858,2026-04-30,20260331
219,605286,同力天启,652354485.41,307.0689328885,197877488.32,30.3328163975,-134698815.41,-20.6481013655,588716505.18,90.24487734,2026-04-30,20260331
220,605259,绿田机械,-46962589.61,-76.1209872718,18722737.8,39.8673453817,-68946659.33,-146.8118770761,7047233.6,15.006058351,2026-04-30,20260331
224,605158,华达新材,-689395750.29,-1.6642065986,-581556952.21,-84.3574901594,-41148774.62,-5.9688175627,-50312705.55,-7.2980875685,2026-04-30,20260331
226,605128,上海沿浦,24547257.17,173.6124001513,30132762.12,122.7540898412,-13168289.39,-53.6446467269,7570950.17,30.8423467338,2026-04-30,20260331
230,605108,同庆楼,-3212424.54,-202.2180769001,69064073.69,2149.9049341094,-253943756.46,-7905.0496999379,181667258.23,5655.1447658285,2026-04-30,20260331
232,605077,华康股份,3839825.06,-98.9822465072,-31200027.29,-812.5377276953,-76367207.86,-1988.8199766059,113262216.01,2949.6712542941,2026-04-30,20260331
234,605068,明新旭腾,48997951.44,213.9244322519,238286752.39,486.3198264152,-64790810.68,-132.2316725003,-124580192.08,-254.2559197246,2026-04-30,20260331
235,605056,咸亨国际,-379782133.8,18.4682401899,-263012423.02,-69.253500787,-40962564.9,-10.7858061911,-76107361.07,-20.0397423408,2026-04-30,20260331
236,605050,福然德,-497094951.22,-224.4056166561,-607880573.69,-122.2866118833,-69884393.12,-14.0585602305,180670015.59,36.3451721138,2026-04-30,20260331
238,605016,百龙创园,201856512.62,188.3996130499,137223680.65,67.9808042202,-148057534.37,-73.3479105768,214653026.78,106.3394110965,2026-04-30,20260331
